Timestamp,Engine RPM,Box RPM
59130264, 5, 236
59161744, 1648, 236
59193100, 1655, 236
59224600, 1647, 236
59255976, 1654, 236
59287516, 1645, 236
59318892, 1654, 236
59350504, 1642, 236
59382012, 1647, 236
59413656, 1640, 236
59445120, 1649, 236
59476660, 1645, 236
59508004, 1656, 236
59539480, 1649, 236
59570912, 1651, 236
59633864, 1652, 236
59665444, 1643, 236
59696880, 1651, 236
59728452, 1644, 236
59759828, 1654, 236
59791376, 1645, 236
59822712, 1656, 236
59854224, 1647, 236
59885632, 1652, 236
59917168, 1645, 236
59948564, 1653, 236
59980108, 1645, 236
60011508, 1652, 236
60042984, 1649, 236
60074324, 1656, 236
60105800, 1649, 236
60137204, 1652, 236
60168744, 1645, 236
60200152, 1652, 236
60231764, 1642, 236
60263196, 1651, 236
60326212, 1651, 236
60357756, 1645, 236
60389160, 1652, 236
60420768, 1642, 236
60452308, 1645, 236
60484084, 1633, 236
60515752, 1639, 236
60547532, 1632, 236
60579208, 1639, 236
60611048, 1630, 236
60642756, 1637, 236
60674628, 1628, 236
60706404, 1633, 236
60738340, 1625, 236
60802240, 1620, 236
60834144, 1626, 236
60866148, 1621, 236
60897924, 1633, 236
60929796, 1628, 236
60961336, 1645, 236
60992876, 1645, 236
61024076, 1664, 236
61055284, 1663, 236
61085052, 1743, 236
61113552, 1821, 236
61139772, 1980, 236
61165292, 2034, 236
61184856, 2034, 0
61189524, 2142, 0
61213420, 2172, 0
61236496, 2250, 0
61259392, 2267, 0
61281736, 2323, 0
61304040, 2327, 0
61325912, 2373, 0
61347860, 2365, 0
61369468, 2402, 0
61391240, 2384, 0
61412784, 2409, 0
61434560, 2384, 0
61499772, 2390, 0
61508280, 2390, 25
61521740, 2363, 25
61543480, 2387, 25
61565436, 2364, 25
61609068, 2370, 25
61630760, 2392, 25
61652696, 2366, 25
61674372, 2395, 25
61677388, 2395, 50
61696268, 2371, 50
61717924, 2397, 50
61783556, 2363, 50
61803604, 2363, 67
61805312, 2385, 67
61827304, 2360, 67
61870892, 2374, 67
61892600, 2391, 67
61908432, 2391, 80
61914524, 2367, 80
61936352, 2378, 80
61958320, 2363, 80
61980096, 2384, 80
62001244, 2384, 90
62067632, 2378, 90
62084432, 2378, 101
62111432, 2383, 101
62133356, 2367, 101
62155088, 2388, 101
62159396, 2388, 112
62177028, 2365, 112
62198752, 2389, 112
62220608, 2375, 112
62230540, 2375, 118
62242200, 2404, 118
62263952, 2386, 118
62285480, 2411, 118
62297748, 2411, 125
62328532, 2427, 125
62350056, 2411, 125
62360988, 2411, 134
62371320, 2441, 134
62422704, 2455, 137
62435024, 2451, 137
62455952, 2480, 137
62477024, 2463, 137
62482036, 2463, 142
62497848, 2493, 142
62518732, 2486, 142
62537140, 2486, 153
62539300, 2524, 153
62559956, 2513, 153
62580376, 2542, 153
62592020, 2542, 154
62621040, 2566, 154
62641276, 2565, 154
62644944, 2565, 159
62661280, 2595, 159
62681344, 2587, 159
62697052, 2587, 162
62740704, 2643, 162
62747920, 2643, 166
62760340, 2643, 166
62779764, 2672, 166
62797296, 2672, 171
62818456, 2696, 171
62837712, 2695, 171
62845636, 2695, 174
62856796, 2719, 174
62875880, 2719, 174
62892544, 2719, 180
62894816, 2741, 180
62932608, 2760, 180
62939360, 2760, 180
62951448, 2755, 180
62970108, 2782, 180
62985680, 2782, 182
62988800, 2777, 182
63030656, 2803, 188
63044268, 2822, 188
63062632, 2827, 188
63075200, 2827, 190
63117120, 2873, 190
63118820, 2873, 194
63135192, 2873, 194
63153148, 2891, 194
63161740, 2891, 196
63171172, 2880, 196
63204472, 2905, 198
63206992, 2892, 198
63224780, 2918, 198
63242576, 2917, 198
63260256, 2936, 201
63313072, 2955, 202
63329364, 2955, 206
63348024, 1485, 206
63365444, 2980, 206
63369744, 2980, 209
63382896, 2975, 209
63400244, 2992, 209
63409968, 2992, 210
63417644, 2983, 210
63434980, 2995, 210
63449608, 2995, 213
63452332, 2991, 213
63486864, 3008, 213
63489004, 3008, 214
63504076, 3015, 214
63521276, 3018, 214
63528128, 3018, 216
63538424, 3027, 216
63555600, 3022, 216
63566624, 3022, 219
63572708, 3034, 219
63589816, 3034, 219
63604600, 3034, 223
63606920, 3034, 223
63624004, 3039, 223
63641076, 3040, 223
63642776, 3040, 221
63658188, 3034, 221
63675264, 3040, 221
63679880, 3040, 228
63754332, 3051, 228
63760612, 3039, 228
63777612, 3053, 228
63790708, 3053, 232
63794668, 3043, 232
63826924, 3057, 234
63828692, 3046, 234
63845672, 3057, 234
63862384, 3057, 239
63879724, 1524, 239
63896780, 3043, 239
63898480, 3043, 235
63930948, 3031, 235
63947940, 3055, 240
63965052, 3034, 240
63968796, 3034, 241
63982020, 3060, 241
63999060, 3047, 241
64003736, 3047, 242
64016056, 3054, 242
64033084, 3048, 242
64038092, 3048, 246
64050076, 3055, 246
64067176, 3035, 246
64072216, 3035, 248
64084208, 3047, 248
64101332, 3031, 248
64106516, 3031, 246
64118400, 3041, 246
64135532, 3030, 246
64140476, 3030, 249
64152600, 3041, 249
64169696, 3036, 249
64186728, 3047, 250
64203844, 3033, 250
64207840, 3033, 252
64220864, 3050, 252
64238012, 3027, 252
64241048, 3027, 255
64255132, 3032, 255
64272280, 3027, 255
64273976, 3027, 257
64289388, 3034, 257
64306588, 3018, 257
64308288, 3018, 246
64323664, 3040, 246
64339892, 3040, 268
64357928, 1515, 268
64372640, 1515, 258
64375064, 3029, 258
64392136, 3040, 258
64405288, 3040, 259
64426348, 3040, 259
64437572, 3040, 262
64443460, 3034, 262
64460524, 3042, 262
64469384, 3042, 266
64477624, 3035, 266
64494744, 3032, 266
64511892, 3027, 263
64528972, 3039, 263
64533308, 3039, 265
64546132, 3025, 265
64563180, 3045, 265
64565136, 3045, 266
64580264, 3039, 266
64596632, 3039, 269
64614332, 1523, 269
64627820, 1523, 271
64648452, 3034, 271
64659036, 3034, 271
64665516, 3042, 271
64682628, 3034, 271
64690420, 3034, 269
64699724, 3036, 269
64716856, 3030, 269
64721324, 3030, 274
64733944, 3038, 274
64751036, 3037, 274
64752736, 3037, 269
64768084, 3045, 269
64783312, 3045, 277
64785152, 3041, 277
64802188, 3047, 277
64813892, 3047, 277
64819252, 3042, 277
64836280, 3048, 277
64844400, 3048, 277
